custody_agency,date_of_release,sex,age,race_ethnicity,zip
PDP,7/24/2015 0:00,Male,66,Black,19130
,,,,,
State,9/6/2015 0:00,Male,66,Black,19144
,,,,,
State,9/13/2015 0:00,Male,67,Black,19148
,,,,,
PDP,6/22/2015 0:00,Male,61,Black,19138
,,,,,
PDP,8/29/2015 0:00,Male,64,Black,19132
,,,,,
PDP,4/7/2015 0:00,Male,67,Black,
,,,,,
State,6/8/2015 0:00,Male,64,Black,19124
,,,,,
State,8/25/2015 0:00,Male,64,Black,19139
,,,,,
State,3/2/2015 0:00,Male,64,Black,19144
,,,,,
State,4/12/2015 0:00,Male,62,Black,19143
,,,,,
State,8/6/2015 0:00,Male,63,Black,19133
,,,,,
PDP,6/19/2015 0:00,Male,62,Black,19144
,,,,,
PDP,3/3/2015 0:00,Male,57,Black,19138
,,,,,
PDP,1/14/2015 0:00,Male,62,Black,19121
,,,,,
PDP,1/16/2015 0:00,Male,62,Black,19140
,,,,,
State,2/9/2015 0:00,Male,63,Black,19143
,,,,,
State,2/23/2015 0:00,Male,63,White,19116
,,,,,
PDP,3/12/2015 0:00,Male,67,Black,19107
,,,,,
PDP,7/2/2015 0:00,Male,64,Black,
,,,,,
PDP,6/26/2015 0:00,Male,62,Black,19104
,,,,,
State,2/3/2015 0:00,Male,67,Black,19124
,,,,,
State,9/22/2015 0:00,Male,62,Black,19143
,,,,,
PDP,2/13/2015 0:00,Male,64,Black,19143
,,,,,
PDP,1/18/2015 0:00,Male,63,Black,19144
,,,,,
PDP,12/4/2015 0:00,Male,65,Black,19121
,,,,,
PDP,7/20/2015 0:00,Male,63,Black,19143
,,,,,
PDP,8/26/2015 0:00,Male,64,Black,
,,,,,
PDP,10/23/2015 0:00,Male,66,Black,19104
,,,,,
State,7/2/2015 0:00,Male,63,Black,19129
,,,,,
State,4/13/2015 0:00,Male,63,White,19116
,,,,,
PDP,3/16/2015 0:00,Male,61,Black,19153
,,,,,
PDP,6/15/2015 0:00,Male,63,Black,19141
,,,,,
State,7/20/2015 0:00,Male,61,Black,19124
,,,,,
PDP,12/14/2015 0:00,Female,65,Black,19142
,,,,,
State,12/24/2015 0:00,Male,63,Black,19119
,,,,,
PDP,7/31/2015 0:00,Male,62,Black,
,,,,,
State,9/22/2015 0:00,Male,65,Black,19123
,,,,,
State,6/29/2015 0:00,Male,62,Black,19121
,,,,,
PDP,12/11/2015 0:00,Male,63,Black,
,,,,,
PDP,9/11/2015 0:00,Male,62,Black,19124
,,,,,
PDP,9/4/2015 0:00,Male,64,Black,19124
,,,,,
PDP,7/6/2015 0:00,Male,67,Black,19143
,,,,,
PDP,5/25/2015 0:00,Male,75,Black,19132
,,,,,
PDP,3/18/2015 0:00,Male,69,Black,19142
,,,,,
PDP,6/18/2015 0:00,Male,62,Black,19140
,,,,,
PDP,5/6/2015 0:00,Male,63,Black,19146
,,,,,
State,2/3/2015 0:00,Male,66,Black,19143
,,,,,
PDP,10/5/2015 0:00,Male,63,Black,19146
,,,,,
PDP,1/28/2015 0:00,Male,61,Black,19140
,,,,,
State,1/6/2015 0:00,Male,63,Black,19129
,,,,,
PDP,9/6/2015 0:00,Male,63,Black,19144
,,,,,
PDP,11/18/2015 0:00,Male,67,Black,19143
,,,,,
PDP,2/4/2015 0:00,Male,63,White,19125
,,,,,
PDP,11/12/2015 0:00,Male,62,Hispanic,
,,,,,
PDP,4/28/2015 0:00,Male,23,Black,19146
,,,,,
PDP,11/3/2015 0:00,Male,60,Black,19122
,,,,,
PDP,4/10/2015 0:00,Female,69,Black,19121
,,,,,
PDP,7/27/2015 0:00,Male,65,Black,19121
,,,,,
PDP,2/11/2015 0:00,Male,58,Black,
,,,,,
State,1/29/2015 0:00,Male,62,Black,19120
,,,,,
PDP,6/17/2015 0:00,Male,63,Black,19131
,,,,,
State,12/15/2015 0:00,Male,60,Black,19146
,,,,,
PDP,6/16/2015 0:00,Male,64,Black,19121
,,,,,
PDP,5/31/2015 0:00,Male,61,Black,19133
,,,,,
PDP,7/28/2015 0:00,Female,67,Black,19140
,,,,,
State,3/1/2015 0:00,Male,67,Black,19120
,,,,,
PDP,12/2/2015 0:00,Male,71,Black,
,,,,,
PDP,3/20/2015 0:00,Male,62,Black,19114
,,,,,
PDP,5/4/2015 0:00,Male,62,Black,19145
,,,,,
PDP,2/5/2015 0:00,Male,59,Black,19146
,,,,,
PDP,6/29/2015 0:00,Female,62,Black,19146
,,,,,
PDP,6/15/2015 0:00,Male,67,Hispanic,19100
,,,,,
PDP,6/7/2015 0:00,Male,67,Black,19144
,,,,,
PDP,5/27/2015 0:00,Male,65,Hispanic,19133
,,,,,
PDP,9/11/2015 0:00,Male,63,Black,19143
,,,,,
PDP,1/5/2015 0:00,Male,58,Black,19139
,,,,,
PDP,9/2/2015 0:00,Male,58,Black,19124
,,,,,
PDP,5/22/2015 0:00,Male,65,Black,19141
,,,,,
PDP,8/14/2015 0:00,Male,63,Black,19133
,,,,,
PDP,9/11/2015 0:00,Male,61,Black,19120
,,,,,
State,4/2/2015 0:00,Male,61,Black,19121
,,,,,
PDP,3/27/2015 0:00,Male,62,Black,19145
,,,,,
PDP,3/14/2015 0:00,Male,67,Black,19121
,,,,,
PDP,3/3/2015 0:00,Male,64,Black,19130
,,,,,
